hash,ctype,,audit,
1572d05a28fab5da73936a6c27d5c02ecd4ede22,1,,1,50
42ba7b92c5ad3db50af9a362fdda5f1ab776b583,1,,0,50
2ccaecbf1ad859f9679a3315b5c2f5318e83a7f0,1,,0,
462c35f315c96e978022c1d4848260c2cbdffd08,1,,1,
a61618b16245390fef2e74dbe856046b4d51d18a,1,,0,
6479e1b96487772eaaee471555950d1e2b7f6b80,1,,0,
8244de4f809490ecaf967f1927b56300ba5ef4b0,1,,0,
54cd16d4eb8feb93c2b2a7d13e5ca89e84422bad,1,,0,?
a125635b294e17e56b559cc7b5d57aea23052193,1,,1,
0482257953ef437bf50895e7bc94fe9cfd0070b9,1,,1,
caad64fa4fdacb7ba2c6c9a1d834b31777293e43,1,,1,
f3b970d1427618b4a29cc8bd68b4a1859e1d808c,1,,1,
68263dcaf39e1fae6f31a876ef28deb15906bfd7,1,,1,
ab6ce9b826a18fe2bfcc65d54161eeeb7e30f287,1,,0,
b8fb743932a116e49219f5d9c3b2213c831cf402,1,,1,
e5ef2d118ad948afe51cd369a7117425ee914d23,1,,0,
342c6ff26c752a25560e46447fa5cc3ac5f9ee6a,1,,0,
5f5f2fbf2168286a73b989a3258c5d4dc2c94cef,1,,1,
6c6e9eb76b3e9d4b0e7e08f19f70e33f64c0739a,1,,1,
95c41a5f0f9c4492673c08537b7d8d65d32c2942,1,,1,
6d1fff799ca5d3bb407d2ab6e55247f21466992e,1,,0,
eb089b5349221ee9d07a4a169fe8cd299e03cd63,1,,1,
807ed43c7c904d228a0bce98b62d9083314de9a2,1,,1,
dfd30e220dbff8baf85e3b6463b4be32e2b1b3d0,1,,1,
432fd7208b2ed6e90cc7020ab8d59556a651a562,1,,0,
da2867540c8c8f292e8f3d10c50876b39daa478c,1,,1,
a1e734287eb0b9b018cd1e7f993787313886514e,1,,0,
9fd90eb97c652dca85b62211a721ec4a748b070f,1,,0,
2b27f485394a617cea8e7af927e6716bfd0913cb,1,,1,
e3e310bf2a7f5edba1365e72cde2a682445078a6,1,,1,
f2aad9f83831f3c46aa3c348effd53f7098fc764,1,,1,
5bc710a35c41346ba8387614d818cb5ad9776534,1,,0,
113b040be341e0b31dc7456d7d275e46f5a37a51,1,,1,
765071717317735693f3887848daf598ef0331c3,1,,1,
6d2440dba42375ee72dd95a43136427e166f4c7a,1,,0,
87809f61d3325a2a82d03055b2b0d9439aee5642,1,,0,
b6eef1e6fab13e0821ac8ff424dd08a4057f523c,1,,1,
5665022a9165f8c52425e2c1d36120fce8568a76,1,,1,
a24ede7fec98f5999f52c6ff8ba7e8de869185ce,1,,1,
eaa5a0935722fde07d15f0e659afae1d24cfbb66,1,,0,
893301755917c676e943453f2244dcc69b7e5e08,1,,1,
1c7410377a9c8cdbe7ad7b38c56f78d64b670782,1,,0,
e12b48bdfe486d3f4e2db70b7cb8f5d12af2a178,1,,1,
5dd7568ea76e79a7ba49ea81acf2342b657bbc9d,1,,1,
2a355394940a3c5fb115b720793ebcb406a52683,1,,1,
fd21b0f6f897b604bc4d54531f75d56c42b572ba,1,,0,
34ec920c27d8ddc59abec55412e9081780ccea28,1,,0,
66fb7ac82ebfa97c2166c70e00c61bd4860d8461,1,,0,
f2416b5ff9ef3435e45aba9ecbdf29ad152fc1ca,1,,1,
27fd81c832c8bcdad1a25f289a8d1590a64267b0,1,,0,
4db0bd20ac5f5a4e260653a10269fef9ef51f91f,0,,1,
ac5704ac287acd00efc9b7b502919191f19841ec,0,,0,
b8cfa4c44f3a484cbe5a62f725747f38566e978f,0,,0,
9833ad592b8633e24974248a91a81a9922b9653d,0,,0,
1e14bd7698f11d99fa5c12c6e2c6a9446ef55470,0,,0,
5db42187c3fd129c9574d61ceb7236d932bb69dc,0,,1,
01a37e0f62e2b071f9f1c9448d692df3861c75ba,0,,0,
b3fabf19b6492a18ca6cb69dfa40f5740084c202,0,,1,
398b306addf2ae07d6b9d18d23a513b3123e3263,0,,1,
a6c871e19cbc255919bbd68405b8603741feef13,0,,0,
865f63bd2611e7db44d551fd6063a33b02ffa3a8,0,,0,
3176422deb87b80023126a6465d40bdb3d436320,0,,0,
069c3fb1e597f3eaea32092599de4a72bbecc365,0,,1,
00b23ff43c390ccf425b0c3643120990dc4d7624,0,,0,
80e661c5e09c76ea12fdcca7ac3220f1939c5886,0,,0,
57ce4a6f818c1f258c3ea2171d0f75c59669bb22,0,,0,
915f996a6abb414c1f409e51e563e182eb53b8a9,0,,0,
759af18ab8cacd93d9c9af2354222d9c24367d0f,0,,0,
2e0b803d5c723a31be198bb90c2be1a7076ef577,0,,0,
3a6ae504b4d256a91bfe84d6ab7b1b555a23894c,0,,0,
7487cda937ea8aee4f85a61ee96ecd885cbc8f10,0,,0,
3699396cd155c51412724d8e62be314cd4265e84,0,,0,
fdd571e2e2612b6ac7226165cc619cec738dae21,0,,0,
8bc4363ab5626fbf9e1d4c94643fb39f43897fe2,0,,1,
6b156e6b351df779291cb8689e3ab8d88af53f7c,0,,0,
83d7637c205eae53a2c6110223c94cc7aeffd87c,0,,0,
7be00d51bf968aaf42b966c5d0c33b3da54b507e,0,,0,
f1186368d598578082f98a51c82cd35fdecaaaec,0,,1,
a8341a5f6d61e9e6eb70fbd3c5e73aad9618d7ec,0,,0,
63723e5c7f2ad7d6b804e251ec21a09f6d7c5122,0,,0,
3daa56768f45594ec3461731e68865323900acf1,0,,0,
d1984c4e3b53ec76eddcd220db34f739bda3d8ed,0,,0,
42eda8e7ff3b75113784c5e99e9005ed31ebeb90,0,,0,
e67d98586f32d477d4d81fbd694f2451108a7321,0,,0,
05dca734dad016992221a82d293fa53041145959,0,,0,
542f482f7e87925306d16d5a1c3ff9897c4f3a4b,0,,1,
f0da7b6bf3b4ccaa8c86c22d28b233feb2c4f0ba,0,,1,
84a25cbfc8f11857faed0921564f57958352ba0e,0,,1,
6a6ba18b43564be763f1547bcb11ad8c5f19c597,0,,1,
76102c8aaf5533f8cdbad193e1726bcc7d9fa290,0,,1,
b3e3959d14814f42ee2197c504c322bcbe12347d,0,,1,
461f3b557b6847091873a689d4c33b89165c8de7,0,,1,
c2787ef8fdb7401922e9ec6540e4e5895d11c631,0,,1,
8f2c91b4d92efeda587c26d2eea275fdd33701be,0,,1,
8c17a3b3cb749433bc324101119de2da17945b90,0,,1,
be74d83bc8bfc6c4882de3e571443338d853d20f,0,,1,
2acc18a04cc30c5da4ced68584fb63ac65a6f086,0,,1,
bd3f559d8a78d977966f097424b34f6d142a657b,0,,1,
2e2270c5fa91c68226211faa81b582e02f3e8cfd,0,,1,
a99327b2a1a4eb194665325f4ecb879dbfa80f2d,0,,1,
