hash,ctype,,audit,
3da558819394ab7a9308d881ef3a93e2fb7d83a8,,,0,50
7d446f0c3dcf93f0c31ca267f8dc5865cb8ec56a,,,0,50
7768820ec9f58ecbc6a804ac5a88de62325e515c,,,0,
98ec42a5cf722b740b220ed7c079d77dd152f1f7,,,0,
03e2c8ab1129626a2623f8551536cda88a9790f2,,,0,
9f25a8914a122381e767ea966c8fe48370fde174,,,0,
9b9d026ab8c293623520eed18d60992285063300,,,0,
90c92d02f7e22904bc290a851f542af62b0f2d3f,,,0,
fe5798c29f70fb070671c05788edf26d7c084d7e,,,0,
45eff763f014596084682914ebf8c1a5ff7e076f,,,0,
bb4fb14306a569f19fec59da480f216a2e73d9e5,,,0,
885fbb520aeb884ee9c8ff1add461cdb1d358ae7,,,0,
bbbd32117f8c58c08b36bde1ff70282b51611faa,,,0,
50e4441ae885cd647471ffe7df66ea23631f3fa1,,,0,
c6540e16abf242ed2dd97d0f7b34d20a37bea671,,,0,
5bf0e027179e98bea69c2c4895cde68c8c5aec5c,,,0,
03de3c215137b92a4991ec23027feaac61754620,,,1,
8f90402c8904388b500e9133691b352fe406f707,,,1,
aa853af262b328d44d02278c02875f61c2222f3f,,,1,
a108d263aa9a64fcc7a9ba632892ab81f6ef619e,,,1,
88b2ee9320cf90accec66b2e78da0b97b2fd9415,,,1,
50033684a7df9b608877ccaa5052c3c7093479cf,,,1,
ba3a201f4e4aff8cfa206c624bd696473ace6cf2,,,1,
c38d97d2dfb63a2d25cd8736c17df7530f8c81a4,,,1,
b6649a9d8738c3f8eec8222a19822cf4f9da6947,,,1,
16d63a05bc591514962d1b8310e0d0315607686c,,,1,
457b88825779fa467e7e2e6ae2fbcafd3f69312b,,,1,
a6695737cc1ee7368bd1ec5328434395ba217e57,,,1,
d35bc546ce5c4d4fdfaabec1ce5534d2b132165a,,,1,
cfe85e36c81d7c8adadd65cf37c21f88c88371db,,,1,
45f519c341451df1266c0afe12bd602d537161d5,,,1,
07e96e6573bd98ac6f74e64b1a309cea8dfbf342,,,1,
a190a1ede40e3a1596327837a9e57ed92270a758,,,1,
bd7c2f3ca74310c98737616f45e0f96467b67a02,,,1,
af11193155c6548d9a290fe7ad3f9db66f32be36,,,1,
41cd528c83c6fea8110bc282b19449d8a2daccdc,,,1,
fc42848b68b3bd38e43274f93fef8698dc3d570a,,,1,
6b3cf7dbc52714a2f467570d6a5c7b9725e1a075,,,1,
818086662412e262543d51e39d2a842acec8d0e8,,,1,
32f782b6558e706b64f84d53525429a827df94da,,,1,
138b8cccd1691c5f5e4f660842fc66a1b77be893,,,1,
d56a057f911b5216b24f7b09c499a546d3d5939c,,,1,
51d7e6e7deaddc8ead7bcaf3466366ec42409d3e,,,1,
c51ccd5d70f11696fcff698ad949de06713d3889,,,1,
1632e9d1a7a83b140d6e3fa0d01231b8971cd5d9,,,1,
8ec5e58a6615754ddf917988f5e9ab44080b4a03,,,1,
453d4d2a7572ea9607f63fdb2e4644235970879a,,,1,
51e1bf21dce51d4066575415daeb8ce32688e6d5,,,1,
4b88377d469e7540ec4b54881336cd33c0f0ba0a,,,1,
6935120486a88e1f2bc888447e10c89100dae711,,,1,
613f469ac5684969ed7a7bb9af950a1e86c0cf1b,,,0,
e630ecccb9f222673fc0f78a316ee062954e0c4d,,,0,
25bb4faaca03882a58c494b657356d8910e3993b,,,0,
e819a947993fcf4b1a30c9e2469fd18018c60aa4,,,1,
d0642f6975488c8af6d6916ca098e232ddd596a1,,,1,
766aa92285e8a1f63f3fb88ce71dc692721500fb,,,0,
043e7284c14bbaf0769deafe00c34fe3235dd99a,,,1,
f48a5799a214b4b5929ba51af663b1cd2df30a23,,,0,
f121b464c3de1da05773a7b20092bfed7f7f3a1b,,,0,
d5d5a3179c0876502c480552378cc6f4e37e9ff6,,,0,
3252fd0d31fcb6d8303fc48223eeb3e3c37105e6,,,0,
b31befd311d886ec7f9d9f0ef18bc1713774c7c8,,,0,
babc913efd5e374396a8aaf224fa8b32d4a96a07,,,0,
49643a3ccd68aa4df17ef416db6900d646f57407,,,1,
7a8bb619424edba05cc8b994ac18215c2a45ece0,,,0,
7026db5caa5a2cdf89f7d25b5ea2968e2f2dc9e0,,,0,
e3e100b297662463d3a7cb1ad2bd734a9adc566d,,,1,
a9dfcc14e41479129631c96cdf1d13a1453c3467,,,0,
7361b75b443c1f72abaea11946e496e8af78ce6a,,,1,
929265614845e60b69ddd20184d4f147f735aac4,,,0,
4876b08166ef1da8adf4902601238e0bad46e932,,,0,
ad87d04f393663cc8cdfed28addf826c957c88a9,,,0,
f0b7724cd0a49c478afb0b321d9d8ff3e18128d3,,,0,
893d780d3f8ce1315b05642a5b272d819e4e272c,,,0,
d2dab8f8c9036f75fe0a8247a7e2e0ce949249a7,,,0,
22a9156e309180ec9a0bf41f0fafccccc725275e,,,0,
b6ca63a464359fb4f95e41fece4ab33558c967ce,,,0,
95ebadb56e10510c6e10837a80e6cafd37ffe2f8,,,0,
fa719311070821ddc3fff65695b655d661393af6,,,0,
15bc2f982d52230e603a8ecd3dfe52f1a883eeb3,,,0,
2a5ef916acc3b9011d9bda23f0a323fc3b7d8bb8,,,0,
119299cd387324c5ce13b149a884d57772f9fb9c,,,1,
91ae7295151b3b9b889f5bbcb614af93cb9f4e9b,,,0,
ae11fbdd9a95cc1565ba2201569b1acef7f873e6,,,1,
852f3083a7ce42cca6573aadd5407ad9a7655696,,,1,
858ebfa35eba4932b7258b701ed9f8e959115182,,,1,
06326ebbd2e142cb861e9c2f069d47c8984d4a10,,,0,
e16a9b5aa1db331dd91882e0d49c14e5a7e91b71,,,1,
f78fa8f63b9f489f60209dd31b583a8abbfe32e7,,,1,
6ef28b506e02f123b336f71d60816435c310dbd0,,,1,
d5df001f6efd8887a04510a3f07fd864e42ede4b,,,0,
41b699b7e4f76a92ae0f0e18d6fea97ee2340753,,,1,
