hash,ctype,,audit,
ef9946d39a97872e135a87a8949bf1b0c9716fcf,1,,0,50
37bbc01ac798bd63d77e977425efa26dc43b1de0,1,,0,50
3f64a023328e7dfb2733681baff99c811c511b9f,1,,0,
7101d3b7aee26ae34c2c42e90393bfb25dff6a66,1,,0,
f5b77e12aa1c5b9ff5ec20c2e6be2db5d84fc6e0,1,,0,
0d00d81542e3cc45708237e3a0be3fedec0afae2,1,,0,
934c3a85a45b8ea375259fcea5ecc8634038bf65,1,,0,
ce40da0e6fa5ef1dcc46c9f19e73fac13123ca15,1,,0,
c1c9d64ac23467e2d5a0e0dd5e31f202cb7ba518,1,,0,
f3917d8ee8c5d114faabc4ff147d9e3f0ccf3995,1,,0,
7f26ff6952a002edb4a5c18069345e9cfad82925,1,,0,
a2b953dbcb499a68fd6c3029272a7db1ab5a4f64,1,,1,
bf6fea29d5fbfac2798f035c591d5bb7221d66f3,1,,1,
defe3e929921974718f0f5a9b8e8cbe36df3026a,1,,1,
28ddd5d88d5b105d8fad659a2db123ff92920a15,1,,1,
7f564e065b55f2966027cf0a02b2266f7250ae13,1,,1,
4c7f0b9c22b498a5641beaf245bc5aa34f4be79d,1,,1,
90236200b96f203814b417ef5e97246e625e2351,1,,1,
efe45f15d3ce5d69921e435c721c4f6fd81ab215,1,,1,
3784ca26dab598db8cd4adea3bffd24756444b3a,1,,1,
f131713362934f6e91fc0a0a70b8f1893f03a695,1,,1,
a869b25f817d9a9d9bb16f6da1f2b50470d89835,1,,1,
837f3c03a0479f78f719055bad875f6041595d02,1,,1,
d2f3dc13ece8065a02dcba383ddc8dbcc4f73b3c,1,,1,
d5bd6db76d040aeadb35218714832ef2bc3677df,1,,1,
57307ce7cf1d65f32b547a9487de753edf8274de,1,,1,
c25975635cfba3579cfcb77f9b6e0a3d0e308254,1,,1,
8de2b7d0e5a8763b9994e7fc0c832437b2a41359,1,,1,
855a4bc6c4e8fa37702bec385cdfb9d5225dd834,1,,1,
f052592c5eca9ad76404ac5458e425108ce75db2,1,,1,
56a52b3fc9e85dfb08ef219566459ab27e9b5f1a,1,,1,
d9ab58bfa9a41487aa0051b64db961b6d6d5d9a6,1,,1,
76502ee6b0e7c86fc26ff57e06abae4a48c491e7,1,,1,
d5589171e8e4ac3a07d9b96f0c2e771f4a60fa21,1,,1,
a5bcf4381ed5e10755cce34ff8d5f7b3e765ed23,1,,1,
de9f8d8859030b315cd13826731a8cd2ed8a77db,1,,1,
ff2c410cf58403c936e06b9121e1b08e5c7e60a8,1,,1,
a30f765ef805cf27c5db1d69bf5475ce4ae91b1b,1,,1,
3540a4910cbb801246acb21aa800b5df047e810d,1,,1,
44cf16aca9b8a055ca98d64ef83319479e796d04,1,,1,
e20e8962190f93346175cbab2dc3f6471358f46b,1,,1,
d575f4cd3db723b9d32062b11b872a19f59d4bb0,1,,1,
8557eb8a03a5558b8ecfce05d3ddb9af08e268c8,1,,1,
d1ef9c31a8ce5158681861c2e852886b3a4146ec,1,,1,
84177fa544671db440b8ed191de0b4895ed499ac,1,,1,
936d48d1021f35eb7f49b29ee7dd254bbb436099,1,,1,
22d41f0b1fbf31d6797b6932609dd4ba8de41a14,1,,1,
aab716a96f718085d37c2fdb9321aa383428b670,1,,1,
aae5d518f8de005d13fa41db4686adbba786f46e,1,,1,
5557fcdd005f7bb49870d9def51f99c804191646,1,,1,
163a21b01fdb3c163c326bde615a709974268784,0,,0,
5b3af6e85ffb37636aabe079a0e0bbbe73d20bd4,0,,0,
726bd0ce0bca6906c5c907dd23db2e227b755eba,0,,0,
abd8df635c6fb61dda8951227597527f5a072021,0,,0,
abb4a7194901357c4f49caa0a0ffbc8fb93c5188,0,,0,
2bf48699238ef1bcb4acec22668def94737d73ca,0,,1,
da1276fb98c15d7663cd2a79982c98ddbe3f7185,0,,0,
60bf5b16d5c9058aeea9694fafc076a1fd97debf,0,,1,
b8f6c447f04ca6bc79576762c8949c672ca24951,0,,1,
289f67a60369d22eb3b60d81c04dd26b78663ee7,0,,0,
84845ed8177227c6f5e323d79291885f4f8b5ff7,0,,0,
6d1cc05193f32c6031e1a023943063a6eb701a03,0,,0,
02692c7c641fdd66396df2844408b0934f7c6a07,0,,1,
e0a60d6cadeacdb476c3958e58615059090f2bc4,0,,0,
65038e9551648860c24e14ca5f0a15bc74e2dd56,0,,0,
81f4fc8f9bf541a5657e4693fcc32ab20fd75725,0,,0,
c29021f235b3d2521af10055cc0d6e5f5b67b448,0,,0,
62ee54ce79694e05749f8abad54f43d9dd07b06a,0,,0,
1a90cb3c8fcc5e589d52c57f00ecd47c12a28714,0,,1,
5eb0402620e4d6dee645557fd56ebd092faf8a54,0,,0,
b958c4890fcc3bf3bf872710e34785cded457df6,0,,0,
7b70c6daf9e758e246b17f1e5c8e1bcda1d77c21,0,,0,
